Year,Month,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
2006,1,7.9,-22.2,-4.632258064516129,1.803225806451613,1.803225806451613,3.606451612903226
2006,2,5.5,-22.3,-7.267857142857143,1.0714285714285714,0.9107142857142857,1.9821428571428572
2006,3,22.0,-17.3,-0.8774193548387098,0.8806451612903226,0.016129032258064516,0.8967741935483872
2006,4,23.2,-6.9,7.713333333333334,2.1133333333333333,0.060000000000000005,2.1733333333333333
2006,5,31.3,-0.3,14.741935483870968,3.4516129032258065,0.0,3.4516129032258065
2006,6,31.4,6.9,19.39333333333333,3.7933333333333334,0.0,3.7933333333333334
2006,7,33.0,12.0,22.425806451612903,3.4516129032258065,0.0,3.4516129032258065
2006,8,36.3,8.0,19.55806451612903,3.1129032258064515,0.0,3.1129032258064515
2006,9,26.8,0.1,14.5,5.206666666666666,0.0,5.206666666666666
2006,10,20.9,-2.7,7.625806451612903,4.087096774193548,0.0,4.087096774193548
2006,11,16.0,-4.8,4.456666666666666,3.263333333333333,0.0,3.263333333333333
2006,12,10.3,-15.8,-1.058064516129032,1.9645161290322581,0.8290322580645161,2.793548387096774
2007,1,10.3,-24.5,-7.474193548387096,0.8838709677419354,0.8129032258064516,1.6258064516129032
2007,2,2.8,-24.0,-10.857142857142858,0.0,0.7678571428571429,0.5607142857142857
2007,3,16.2,-26.4,-2.658064516129032,1.0419354838709676,0.8580645161290323,1.8483870967741935
2007,4,25.8,-7.4,6.133333333333334,2.8133333333333335,0.6566666666666666,3.4566666666666666
2007,5,32.1,1.2,13.87741935483871,1.7354838709677418,0.0,1.7354838709677418
2007,6,34.4,5.4,19.529999999999998,1.6099999999999999,0.0,1.6099999999999999
2007,7,29.7,9.5,19.906451612903226,5.438709677419355,0.0,5.438709677419355
2007,8,33.7,6.3,20.174193548387095,2.635483870967742,0.0,2.635483870967742
2007,9,32.2,2.9,16.893333333333334,1.1966666666666665,0.0,1.1966666666666665
2007,10,26.7,-3.9,11.325806451612904,3.335483870967742,0.0,3.335483870967742
2007,11,13.5,-16.3,1.1633333333333333,1.1333333333333333,1.2033333333333334,2.29
2007,12,6.5,-21.1,-6.751612903225806,1.0193548387096774,3.02258064516129,3.661290322580645
2008,1,11.2,-24.4,-5.812903225806451,1.2483870967741935,1.0870967741935484,2.2161290322580647
2008,2,7.2,-26.8,-8.013793103448275,0.4896551724137931,3.1862068965517243,2.9172413793103447
2008,3,7.2,-18.2,-4.964516129032258,1.7193548387096773,3.141935483870968,4.558064516129033
2008,4,26.5,-7.8,8.25,2.143333333333333,0.17333333333333334,2.316666666666667
2008,5,24.3,-2.0,12.074193548387097,2.664516129032258,0.0,2.664516129032258
2008,6,32.7,9.0,19.39333333333333,4.21,0.0,4.21
2008,7,31.0,9.7,20.43548387096774,2.648387096774194,0.0,2.648387096774194
2008,8,29.4,6.5,19.009677419354837,2.2161290322580647,0.0,2.2161290322580647
2008,9,30.8,0.8,15.379999999999999,2.966666666666667,0.0,2.966666666666667
2008,10,22.8,-4.6,7.922580645161291,2.696774193548387,0.0,2.696774193548387
2008,11,19.6,-11.5,1.54,1.6400000000000001,0.8366666666666667,2.4699999999999998
2008,12,11.4,-24.1,-7.361290322580645,0.7806451612903226,2.225806451612903,2.8096774193548386
2009,1,-0.1,-31.0,-13.829032258064515,0.0,2.47741935483871,1.7354838709677418
2009,2,7.4,-22.5,-6.785714285714286,1.275,0.5071428571428571,1.782142857142857
2009,3,14.0,-19.0,-0.8580645161290323,1.229032258064516,0.08709677419354839,1.3129032258064517
2009,4,30.9,-4.7,7.416666666666667,2.5833333333333335,0.04666666666666666,2.6300000000000003
2009,5,29.0,1.5,12.719354838709679,2.674193548387097,0.0,2.674193548387097
2009,6,33.3,3.7,18.009999999999998,2.146666666666667,0.0,2.146666666666667
2009,7,28.6,9.0,19.348387096774193,6.632258064516129,0.0,6.632258064516129
2009,8,32.8,5.8,20.112903225806452,2.725806451612903,0.0,2.725806451612903
2009,9,26.0,1.8,15.056666666666667,1.8533333333333333,0.0,1.8533333333333333
2009,10,17.8,-5.2,6.935483870967742,3.332258064516129,0.0,3.332258064516129
2009,11,18.4,-6.4,4.583333333333333,1.3900000000000001,0.043333333333333335,1.4333333333333333
2009,12,8.7,-25.0,-6.138709677419355,1.4548387096774194,1.441935483870968,2.706451612903226
2010,1,7.4,-22.7,-6.874193548387097,1.435483870967742,0.7806451612903226,1.9161290322580646
2010,2,6.0,-16.5,-4.510714285714285,0.2678571428571429,1.6464285714285716,2.025
2010,3,17.2,-11.2,3.706451612903226,1.1290322580645162,0.0,1.1290322580645162
2010,4,28.5,-0.3,9.71,1.8333333333333333,0.18000000000000002,2.013333333333333
2010,5,35.2,-1.3,15.829032258064515,1.4387096774193548,0.0,1.4387096774193548
2010,6,29.5,8.2,18.526666666666664,3.3833333333333333,0.0,3.3833333333333333
2010,7,35.0,6.5,22.861290322580647,1.6516129032258062,0.0,1.6516129032258062
2010,8,32.4,8.3,20.348387096774193,6.048387096774194,0.0,6.048387096774194
2010,9,32.2,2.9,15.606666666666666,5.09,0.0,5.09
2010,10,20.6,-2.3,8.438709677419356,2.3161290322580648,0.20967741935483872,2.5258064516129033
2010,11,15.5,-9.1,2.3833333333333333,2.99,0.07333333333333333,3.0533333333333332
2010,12,9.9,-16.4,-5.325806451612903,1.3612903225806452,0.5387096774193548,1.6548387096774195
2011,1,7.7,-30.9,-10.44516129032258,0.13548387096774195,1.0483870967741935,0.9354838709677419
2011,2,12.5,-20.6,-7.6000000000000005,0.4178571428571428,1.2857142857142858,1.45
2011,3,10.3,-21.6,-2.4096774193548387,2.1258064516129034,1.0,3.1258064516129034
2011,4,24.2,-5.3,6.833333333333333,4.516666666666667,0.10333333333333333,4.62
2011,5,30.5,-0.5,14.161290322580646,3.458064516129032,0.0,3.458064516129032
2011,6,33.3,8.0,19.766666666666666,2.5966666666666667,0.0,2.5966666666666667
2011,7,36.3,11.9,22.761290322580646,1.867741935483871,0.0,1.867741935483871
2011,8,30.4,10.0,20.72258064516129,2.490322580645161,0.0,2.490322580645161
2011,9,30.3,1.2,17.86,1.4166666666666667,0.0,1.4166666666666667
2011,10,28.2,-4.4,10.338709677419354,2.8129032258064517,0.0,2.8129032258064517
2011,11,18.5,-9.6,5.503333333333333,1.6633333333333333,0.22666666666666668,1.8900000000000001
2011,12,10.9,-21.2,-3.0032258064516126,1.3903225806451613,0.8999999999999999,2.1451612903225805
2012,1,5.8,-25.3,-8.383870967741935,0.9258064516129032,1.303225806451613,2.0677419354838706
2012,2,5.7,-18.8,-4.6000000000000005,0.10344827586206896,0.7827586206896552,0.7275862068965517
2012,3,26.7,-19.0,3.806451612903226,1.2193548387096775,0.1903225806451613,1.3903225806451613
2012,4,27.9,-2.5,6.793333333333334,1.7033333333333331,0.14,1.8433333333333333
2012,5,31.8,3.9,16.258064516129032,2.667741935483871,0.0,2.667741935483871
2012,6,34.2,7.9,19.82,2.296666666666667,0.0,2.296666666666667
2012,7,35.0,10.1,23.129032258064516,0.5354838709677419,0.0,0.5354838709677419
2012,8,35.6,8.1,21.55483870967742,3.064516129032258,0.0,3.064516129032258
2012,9,29.5,1.0,16.110714285714288,5.117857142857143,0.0,5.117857142857143
2012,10,22.7,-3.8,10.548387096774194,1.8387096774193548,0.0,1.8387096774193548
2012,11,20.5,-13.6,0.8766666666666667,0.5633333333333332,0.1,0.6366666666666667
2012,12,17.2,-18.5,-4.435483870967742,1.7483870967741937,2.8677419354838714,4.558064516129032
2013,1,12.0,-29.5,-8.735483870967743,1.1548387096774193,1.170967741935484,2.167741935483871
2013,2,4.6,-24.0,-7.3500000000000005,0.2285714285714286,2.607142857142857,2.767857142857143
2013,3,11.0,-17.6,-1.5451612903225806,0.21290322580645163,0.8967741935483872,1.0419354838709676
2013,4,22.4,-7.5,5.859999999999999,2.0433333333333334,0.21666666666666667,2.26
2013,5,32.1,-0.9,14.929032258064517,2.5064516129032257,0.0,2.5064516129032257
2013,6,31.8,7.4,18.043333333333333,5.283333333333333,0.0,5.283333333333333
2013,7,34.0,9.9,21.787096774193547,1.8580645161290323,0.0,1.8580645161290323
2013,8,30.7,7.8,20.038709677419355,2.416129032258065,0.0,2.416129032258065
2013,9,28.6,1.7,14.586666666666668,2.61,0.0,2.61
2013,10,24.6,-5.6,10.380645161290323,2.7806451612903222,0.0,2.7806451612903222
2013,11,17.2,-20.0,0.36000000000000004,1.0033333333333334,0.9,1.6933333333333336
2013,12,7.2,-29.2,-9.041935483870969,0.264516129032258,1.8774193548387097,1.696774193548387
2014,1,6.5,-28.1,-10.870967741935484,0.5645161290322581,0.9612903225806452,1.103225806451613
2014,2,5.2,-26.6,-9.721428571428572,0.9464285714285714,1.4000000000000001,1.9035714285714287
2014,3,8.8,-22.9,-6.590322580645162,0.5225806451612903,1.432258064516129,1.770967741935484
2014,4,24.9,-8.8,5.38,3.2766666666666664,0.0,3.2766666666666664
2014,5,28.8,1.3,14.596774193548388,2.42258064516129,0.0,2.42258064516129
2014,6,30.1,9.0,19.55,5.206666666666666,0.0,5.206666666666666
2014,7,31.0,10.2,19.948387096774194,2.761290322580645,0.0,2.761290322580645
2014,8,29.5,8.1,19.16774193548387,3.364516129032258,0.0,3.364516129032258
2014,9,29.0,-0.7,15.823333333333332,3.2366666666666664,0.0,3.2366666666666664
2014,10,25.9,-1.6,10.341935483870968,2.0903225806451613,0.0,2.0903225806451613
2014,11,18.9,-11.0,1.3566666666666665,0.9266666666666666,0.35666666666666663,1.24
2014,12,8.5,-15.8,-3.8225806451612905,0.7258064516129032,0.6870967741935484,1.3580645161290323
2015,1,0.6,-28.0,-12.758064516129032,0.34516129032258064,1.474193548387097,1.535483870967742
2015,2,-3.3,-27.7,-15.799999999999999,0.0,1.9285714285714286,1.207142857142857
2015,3,8.0,-23.1,-4.709677419354839,0.26129032258064516,0.6032258064516128,0.7903225806451613
2015,4,22.3,-7.3,6.516666666666667,1.93,0.13333333333333333,2.05
2015,5,29.9,0.5,16.35483870967742,2.096774193548387,0.0,2.096774193548387
2015,6,27.8,4.5,17.766666666666666,3.6,0.0,3.6
2015,7,33.9,9.4,21.54516129032258,2.035483870967742,0.0,2.035483870967742
2015,8,31.8,8.1,20.325806451612905,2.467741935483871,0.0,2.467741935483871
2015,9,33.0,3.0,18.523333333333333,3.2199999999999998,0.0,3.2199999999999998
2015,10,23.6,-6.8,8.006451612903225,2.7096774193548385,0.0,2.7096774193548385
2015,11,21.4,-8.0,4.953333333333333,1.0799999999999998,0.03333333333333333,1.1
2015,12,17.1,-11.9,1.8548387096774193,1.9838709677419355,1.0096774193548388,2.9709677419354836
2016,1,7.6,-22.9,-7.496774193548387,0.9161290322580646,0.9935483870967742,1.6838709677419355
2016,2,7.1,-29.2,-7.76551724137931,1.4275862068965517,2.106896551724138,3.3931034482758617
2016,3,14.5,-23.6,-0.7967741935483872,2.532258064516129,0.6290322580645161,3.161290322580645
2016,4,23.0,-10.5,3.8699999999999997,0.6933333333333334,0.84,1.4133333333333333
2016,5,32.5,0.5,14.77741935483871,0.8516129032258064,0.0,0.8516129032258064
2016,6,33.5,7.5,18.86,1.8866666666666667,0.0,1.8866666666666667
2016,7,32.5,11.0,21.635483870967743,3.2516129032258063,0.0,3.2516129032258063
2016,8,34.0,10.0,22.29032258064516,3.9483870967741934,0.0,3.9483870967741934
2016,9,30.0,3.5,17.03666666666667,2.5533333333333332,0.0,2.5533333333333332
